,age,blood,car,constellation,education,ethnic,height,house,id,js_age,js_education,js_ethnic,js_height,js_location,js_marriaged,js_member,js_photo,location,marriaged,membership,nickname,salary,shengxiao,weight
24,26岁,--,--,金牛座,本科,--,170cm,--,167957605,19-27岁之间,不限,不限,155-170厘米,浙江绍兴,不限,不限,不限,绍兴,未婚,普通会员,慈爱的友易在寺庙,5000～10000元,羊,--
25,31岁,A型,已购车（经济型）,处女座,高中中专及以下,汉族,173cm,暂未购房,168387029,21-33岁之间,高中中专及以下,不限,158-175厘米,江苏苏州,不限,不限,有照片,绍兴,未婚,普通会员,翁聪,2000～5000元,虎,--
26,22岁,--,--,双鱼座,本科,--,179cm,--,167895589,18-30岁之间,大专或以上,不限,158-175厘米,浙江绍兴,不限,不限,有照片,绍兴,未婚,普通会员,余生,5000～10000元,猪,--
27,29岁,--,--,双子座,高中中专及以下,--,170cm,--,164818918,19-31岁之间,高中中专及以下或以上,不限,158-175厘米,浙江绍兴,不限,不限,有照片,绍兴,未婚,普通会员,舒服的奶茶在珠海,5000～10000元,龙,--
28,21岁,--,--,天秤座,高中中专及以下,--,175cm,--,168404834,18-30岁之间,高中中专及以下或以上,不限,158-175厘米,浙江绍兴,不限,不限,有照片,绍兴,未婚,普通会员,淡若如水,5000～10000元,鼠,--
29,24岁,B型,--,天蝎座,本科,汉族,173cm,--,168204242,18-30岁之间,大专,不限,158-172厘米,浙江绍兴,不限,不限,有照片,绍兴,未婚,普通会员,脆弱的南晴在垦丁,10000～20000元,猴,59公斤
30,31岁,--,--,魔羯座,大专,--,172cm,--,168384584,25-33岁之间,不限,不限,155-170厘米,浙江绍兴,未婚、离异,不限,不限,绍兴,离异,普通会员,在大峡谷开心的水蚤,5000～10000元,牛,--
31,21岁,AB型,--,天秤座,大专,汉族,170cm,--,168373355,18-22岁之间,不限,不限,155-160厘米,浙江绍兴,未婚,不限,有照片,绍兴,未婚,普通会员,名萌,5000～10000元,鼠,60公斤
32,21岁,A型,暂未购车,射手座,高中中专及以下,汉族,165cm,与父母同住,168155194,18-23岁之间,高中中专及以下,不限,158-163厘米 *,浙江绍兴,未婚 *,不限,有照片,绍兴,未婚,普通会员,在房屋紧张的丹烟,2000～5000元,猪,55公斤
33,30岁,--,--,狮子座,大专,--,173cm,--,168385864,20-32岁之间,高中中专及以下或以上,不限,158-175厘米,浙江绍兴,不限,不限,有照片,绍兴,未婚,普通会员,翁聪,2000～5000元,兔,--
34,32岁,--,--,天蝎座,高中中专及以下,--,169cm,--,168372917,23-35岁之间,高中中专及以下或以上,不限,158-175厘米,浙江绍兴,不限,不限,有照片,绍兴,未婚,普通会员,刺鱼目豁达的在西湖,2000～5000元,鼠,--
35,23岁,保密,暂未购车,水瓶座,大专,汉族,168cm,与父母同住,168408750,20-25岁之间,不限,不限,不限,浙江杭州,未婚,星级会员,有照片,绍兴,未婚,普通会员,Accountant,2000～5000元,鸡,49公斤
36,26岁,--,--,天秤座,大专,--,176cm,--,168117479,21-29岁之间,不限,不限,161-175厘米,浙江绍兴,未婚,不限,有照片,绍兴,未婚,普通会员,董小光,5000～10000元,羊,--
37,20岁,--,--,魔羯座,高中中专及以下,汉族,170cm,--,161726356,18-28岁之间,不限,不限,不限,不限,未婚,不限,有照片,绍兴,未婚,普通会员,林,2000～5000元,鼠,--
38,25岁,--,--,巨蟹座,本科,--,181cm,--,163831388,18-26岁之间,不限,不限,155-170厘米,浙江绍兴,未婚,不限,有照片,绍兴,未婚,普通会员,会当凌绝顶,2000～5000元,猴,--
39,22岁,A型,暂未购车,天蝎座,高中中专及以下,汉族,168cm,已购住房,164842189,18-23岁之间,不限,不限,155-170厘米,浙江,未婚,不限,有照片,绍兴,未婚,普通会员,陶德淼,2000～5000元,狗,--
40,29岁,AB型,已购车（经济型）,天蝎座,大专,汉族,170cm,与父母同住,161685905,23-31岁之间,不限,不限,155-170厘米,浙江绍兴,不限,不限,有照片,绍兴,未婚,高级会员,wine cups,5000～10000元,兔,--
41,29岁,B型,已购车（经济型）,天秤座,本科,汉族,172cm,已购房（无贷款）,140409686,不限,不限,不限,不限,不限,不限,不限,有照片,绍兴,未婚,普通会员,有缘伴一生,5000～10000元,龙,--
42,32岁,O型,暂未购车,魔羯座,高中中专及以下,汉族,173cm,已购房（无贷款）,168140601,30-36岁之间,高中中专及以下,不限,155-170厘米,浙江绍兴,离异 *,不限,有照片,绍兴,"离异,有小孩归自己",普通会员,在玛雅简洁的恨瑶,2000～5000元,鼠,50公斤
43,18岁,--,--,狮子座,高中中专及以下,--,174cm,--,168299501,18-30岁之间,高中中专及以下或以上,不限,158-175厘米,浙江绍兴,不限,不限,有照片,绍兴,未婚,普通会员,在北岛坚强的乐松,2000元以下,兔,--
44,27岁,AB型,暂未购车,处女座,大专,汉族,178cm,与父母同住,168197325,24-30岁之间,不限,不限,160-175厘米,浙江绍兴,未婚、离异,不限,有照片,绍兴,未婚,普通会员,十二只猴子,5000～10000元,马,75公斤
45,26岁,--,--,天蝎座,高中中专及以下,--,172cm,--,168281545,21-27岁之间,高中中专及以下,不限,158-170厘米,不限,不限,不限,有照片,绍兴,未婚,普通会员,靖雁老实的在釜山,5000～10000元,马,--
46,26岁,--,暂未购车,白羊座,大专,汉族,174cm,与父母同住,146694637,18-24岁之间,不限,不限,155-170厘米,浙江,未婚,不限,有照片,绍兴,未婚,普通会员,大白兔,5000～10000元,羊,--
47,29岁,保密,暂未购车,双子座,高中中专及以下,汉族,179cm,暂未购房,163190559,19-31岁之间,不限,不限,158-175厘米,浙江绍兴,不限,不限,有照片,绍兴,未婚,普通会员,小龙,5000～10000元,龙,80公斤
48,29岁,A型,暂未购车,天蝎座,本科,汉族,180cm,已购房（有贷款）,151900771,25-30岁之间,本科,不限,162-174厘米 *,浙江杭州,未婚,不限,有照片,绍兴,未婚,普通会员,我是凡人,5000～10000元,兔,76公斤
49,19岁,--,--,射手座,高中中专及以下,--,172cm,--,165180051,18-30岁之间,高中中专及以下或以上,不限,158-175厘米,浙江绍兴,不限,不限,有照片,绍兴,未婚,普通会员,七分风流,2000～5000元,牛,--
50,23岁,--,--,射手座,本科,--,169cm,--,168106910,18-30岁之间,本科或以上,不限,158-175厘米,浙江绍兴,不限,不限,有照片,绍兴,未婚,普通会员,欧绮珊,10000～20000元,鸡,--
51,29岁,--,--,双子座,本科,--,168cm,--,168155230,19-31岁之间,大专或以上,不限,158-175厘米,浙江绍兴,不限,不限,有照片,绍兴,未婚,普通会员,在锡耶纳轻盈的金钱草,2000元以下,龙,--
52,29岁,--,--,双子座,本科,--,180cm,--,168354559,19-31岁之间,大专或以上,不限,158-175厘米,浙江绍兴,不限,不限,有照片,绍兴,未婚,普通会员,在巴林耐心的韩国草,5000～10000元,龙,--
53,29岁,--,--,双子座,高中中专及以下,--,172cm,--,168119048,19-31岁之间,高中中专及以下或以上,不限,158-175厘米,浙江绍兴,不限,不限,有照片,绍兴,未婚,普通会员,薄沅苠,2000元以下,龙,--
54,29岁,B型,--,射手座,本科,汉族,177cm,已购房（有贷款）,85987997,22-25岁之间,本科或以上,不限,160-170厘米,浙江绍兴,未婚,不限,有照片,绍兴,未婚,普通会员,起轮渡,5000～10000元,兔,--
55,26岁,--,暂未购车,白羊座,高中中专及以下,--,174cm,暂未购房,117120507,26-30岁之间,不限,不限,158-170厘米 *,浙江绍兴,未婚,不限,有照片,绍兴,未婚,普通会员,春天的小草。。,5000～10000元,羊,--
56,25岁,--,--,白羊座,高中中专及以下,--,168cm,--,168146896,18-25岁之间,不限,不限,155-170厘米,浙江,未婚,不限,有照片,绍兴,未婚,普通会员,劲歌飞扬,5000～10000元,猴,--
57,24岁,--,--,处女座,本科,--,173cm,--,146014556,18-23岁之间,不限,不限,155-170厘米,浙江,不限,不限,不限,绍兴,未婚,普通会员,桑之未落,5000～10000元,鸡,--
58,32岁,B型,已购车（经济型）,水瓶座,大专,汉族,169cm,暂未购房,156534157,24-32岁之间,不限,不限,155-170厘米,浙江绍兴,未婚,星级会员,有照片,绍兴,未婚,普通会员,Faith 信仰,5000～10000元,鼠,62公斤
59,21岁,--,--,水瓶座,高中中专及以下,--,171cm,--,137542300,18-30岁之间,高中中专及以下或以上,不限,158-175厘米,江西吉安,不限,不限,有照片,绍兴,未婚,高级会员,小沫,2000～5000元,猪,--
60,28岁,--,--,魔羯座,本科,--,176cm,--,168352455,21-29岁之间,不限,不限,155-170厘米,浙江绍兴,未婚,不限,有照片,绍兴,未婚,普通会员,可亲的翠安在叙利亚,5000～10000元,龙,--
61,19岁,A型,--,狮子座,本科,汉族,177cm,--,162318061,18-20岁之间,不限,不限,160-175厘米,不限,不限,不限,有照片,绍兴,未婚,普通会员,寂寞咖啡,5000～10000元,虎,68公斤
62,24岁,--,暂未购车,狮子座,本科,--,173cm,暂未购房,160208886,18-30岁之间,大专,不限,158-175厘米,浙江绍兴,不限,不限,不限,绍兴,未婚,普通会员,사랑해-啊树,10000～20000元,鸡,--
63,27岁,O型,已购车（中档型）,狮子座,本科,汉族,181cm,暂未购房,167274347,18-30岁之间,不限,不限,158-175厘米,浙江绍兴,不限,不限,有照片,绍兴,未婚,普通会员,在波特兰浅笑的泥鳅,20000～50000元,马,70公斤
64,29岁,--,--,双子座,本科,--,179cm,--,165639147,19-31岁之间,大专或以上,不限,158-175厘米,浙江绍兴,不限,不限,有照片,绍兴,未婚,普通会员,八角蹊跷的在米兰,5000～10000元,龙,--
65,21岁,保密,--,魔羯座,高中中专及以下,汉族,170cm,暂未购房,107817580,18-20岁之间,不限,汉族,155-165厘米,浙江,未婚,不限,有照片,绍兴,未婚,普通会员,佳缘会员,2000元以下,猪,--
66,18岁,--,--,双子座,高中中专及以下,--,166cm,--,168360879,18-30岁之间,高中中专及以下或以上,不限,158-175厘米,浙江绍兴,不限,不限,有照片,绍兴,未婚,普通会员,开心的孤丝在灵山,2000元以下,兔,--
67,30岁,B型,已经购车,双子座,本科,汉族,172cm,已购住房,133080681,18-30岁之间,不限,不限,158-175厘米,不限,不限,不限,有照片,绍兴,未婚,普通会员,缘来是你,5000～10000元,兔,--
68,27岁,--,--,天秤座,本科,--,177cm,--,152059091,18-27岁之间,高中中专及以下或以上,不限,158-172厘米,浙江,未婚,不限,有照片,绍兴,离异,普通会员,孤独的旅游,2000元以下,马,--
69,22岁,--,暂未购车,天秤座,高中中专及以下,汉族,166cm,住亲朋家,145525228,18-21岁之间,不限,不限,158-175厘米,浙江绍兴,未婚,不限,有照片,绍兴,未婚,普通会员,愿得一心，百宁不分,2000～5000元,猪,--
70,21岁,--,--,魔羯座,高中中专及以下,--,185cm,--,169274304,18-21岁之间,不限,不限,155-170厘米,浙江,未婚,不限,有照片,绍兴,未婚,普通会员,杜,2000～5000元,猪,--
71,19岁,--,--,魔羯座,高中中专及以下,--,167cm,--,168673589,18-20岁之间,不限,不限,155-170厘米,浙江绍兴,不限,不限,不限,绍兴,未婚,普通会员,冷了寂寞,5000～10000元,牛,--
72,26岁,O型,已购车（经济型）,白羊座,大专,汉族,170cm,需要时购置,144861965,18-25岁之间,不限,不限,155-170厘米,不限,未婚,不限,有照片,绍兴,未婚,高级会员,流年在等待,5000～10000元,羊,60公斤
73,25岁,--,暂未购车,天秤座,本科,汉族,169cm,已购房（无贷款）,137173234,23-28岁之间,不限,不限,155-170厘米,浙江,未婚,不限,有照片,绍兴,未婚,普通会员,爱的心情,5000～10000元,猴,--
74,27岁,--,--,水瓶座,本科,--,177cm,--,168928834,20-28岁之间,不限,不限,155-170厘米,浙江绍兴,不限,不限,不限,绍兴,未婚,普通会员,混世,50000元以上,马,--
75,26岁,--,暂未购车,魔羯座,本科,--,172cm,住单位房,113595756,23-26岁之间,本科,不限,160-168厘米,浙江绍兴,未婚,不限,有照片,绍兴,未婚,普通会员,try,5000～10000元,马,65公斤
76,26岁,--,--,处女座,本科,--,180cm,--,137391449,18-25岁之间,不限,不限,155-170厘米,北京朝阳,不限,不限,不限,绍兴,未婚,普通会员,迪迪,5000～10000元,羊,--
77,24岁,--,--,白羊座,大专,--,172cm,--,168407480,18-25岁之间,不限,不限,155-170厘米,浙江绍兴,不限,不限,不限,绍兴,未婚,普通会员,流浪.,5000～10000元,鸡,--
78,24岁,--,--,处女座,本科,--,170cm,--,169342646,18-24岁之间,不限,不限,155-170厘米,浙江,未婚,不限,有照片,绍兴,未婚,普通会员,崔月亮,5000～10000元,鸡,--
79,30岁,--,--,狮子座,高中中专及以下,--,173cm,与父母同住,142721367,24-33岁之间,高中中专及以下,不限,158-175厘米,浙江绍兴,不限,不限,有照片,绍兴,未婚,普通会员,方舟,5000～10000元,兔,77公斤
80,31岁,--,--,双子座,本科,--,174cm,--,169600328,21-31岁之间,不限,不限,155-170厘米,浙江,未婚,不限,有照片,绍兴,未婚,普通会员,情感爆炸,5000～10000元,虎,--
81,24岁,--,--,巨蟹座,本科,--,186cm,--,169638324,18-24岁之间,不限,不限,155-170厘米,浙江,未婚,不限,有照片,绍兴,未婚,普通会员,佳缘会员,5000～10000元,鸡,--
82,22岁,--,--,魔羯座,高中中专及以下,--,170cm,--,169552941,18-25岁之间,不限,不限,155-170厘米,不限,未婚,不限,有照片,绍兴,未婚,普通会员,小锋,2000～5000元,狗,--
83,23岁,--,--,魔羯座,本科,--,170cm,--,169719496,18-24岁之间,不限,不限,155-170厘米,浙江绍兴,不限,不限,不限,绍兴,未婚,普通会员,永恒花束,5000～10000元,鸡,--
84,23岁,--,--,双鱼座,高中中专及以下,汉族,170cm,与父母同住,138338983,20-24岁之间,不限,不限,166-175厘米,不限,不限,不限,有照片,绍兴,未婚,普通会员,等待,2000～5000元,狗,--
85,24岁,--,--,狮子座,本科,--,180cm,--,168558826,22-25岁之间,不限,不限,160-170厘米,浙江绍兴,未婚,不限,不限,绍兴,未婚,普通会员,Zzzz,5000～10000元,鸡,--
86,32岁,A型,已经购车,巨蟹座,本科,汉族,170cm,暂未购房,65575667,18-30岁之间,高中中专及以下或以上,不限,160-170厘米,浙江绍兴,未婚,不限,有照片,绍兴,未婚,普通会员,爱你不变,2000～5000元,牛,--
87,27岁,--,--,白羊座,本科,--,177cm,--,169709540,18-27岁之间,不限,不限,155-170厘米,浙江,未婚,不限,有照片,绍兴,未婚,普通会员,佳缘会员,5000～10000元,马,--
88,34岁,--,已购车（豪华型）,天蝎座,本科,--,178cm,已购房（无贷款）,158639070,22-35岁之间,不限,不限,163-170厘米,浙江,不限,不限,有照片,绍兴,"离异,有小孩归自己",高级会员,蓦然回首,20000～50000元,狗,65公斤
89,43岁,--,已购车（中档型）,天秤座,本科,汉族,162cm,需要时购置,157987075,26-33岁之间,大专或以上,汉族,155-165厘米,浙江,未婚,不限,有照片,绍兴,未婚,高级会员,菛莘,10000～20000元,虎,55公斤
90,43岁,AB型,已购车（经济型）,狮子座,高中中专及以下,汉族,174cm,需要时购置,169618711,36-44岁之间,不限,不限,155-170厘米,浙江杭州,不限,不限,不限,绍兴,"离异,有小孩归对方",普通会员,大秦,5000～10000元,虎,65公斤
91,46岁,B型,已购车（经济型）,双鱼座,高中中专及以下,汉族,177cm,已购房（无贷款）,168769214,37-44岁之间,不限,不限,157-170厘米,不限,离异、丧偶,不限,有照片,绍兴,"离异,有小孩归自己",高级会员,慢慢开车,2000～5000元,猪,83公斤
92,42岁,O型,已购车（经济型）,射手座,高中中专及以下,汉族,163cm,需要时购置,156851224,28-43岁之间,不限,不限,160-170厘米,浙江杭州,不限,不限,不限,绍兴,"离异,有小孩归自己",普通会员,她在哪里,20000～50000元,虎,--
93,35岁,--,需要时购置,白羊座,高中中专及以下,汉族,178cm,已购住房,165250755,30-35岁之间,不限,不限,不限,不限,不限,不限,有照片,绍兴,"离异,无小孩",高级会员,阳光心情,5000～10000元,狗,75公斤
94,34岁,--,需要时购置,天蝎座,本科,汉族,165cm,已购房（有贷款）,164306018,27-35岁之间,大专,不限,155-165厘米,浙江,不限,不限,不限,绍兴,"丧偶,有小孩归自己",高级会员,寻爱,10000～20000元,狗,60公斤
95,43岁,A型,已购车（豪华型）,处女座,本科,汉族,175cm,已购房（无贷款）,154730778,26-49岁之间,不限,不限,155-170厘米,浙江绍兴,不限,不限,不限,绍兴,"离异,无小孩",普通会员,期待幸福,10000～20000元,虎,75公斤
96,35岁,B型,单位用车,魔羯座,本科,汉族,170cm,已购房（无贷款）,169660024,25-37岁之间,大专或以上,不限,150-170厘米,浙江,未婚,不限,有照片,绍兴,未婚,普通会员,原来就是你,10000～20000元,鸡,65公斤
97,59岁,AB型,--,天蝎座,本科,其它民族,174cm,住单位房,156395549,52-60岁之间,不限,不限,155-170厘米,浙江绍兴,不限,不限,不限,绍兴,未婚,高级会员,幸桥福,5000～10000元,鸡,70公斤
98,50岁,O型,已购车（经济型）,天蝎座,本科,汉族,174cm,已购房（无贷款）,156837532,40-47岁之间,不限,不限,155-168厘米,浙江,不限,不限,不限,绍兴,"离异,有小孩归对方",高级会员,沧海一粟,10000～20000元,马,73公斤
99,37岁,O型,已购车（中档型）,双子座,本科,汉族,175cm,已购房（无贷款）,169285185,30-38岁之间,不限,不限,155-170厘米,江苏南京,不限,不限,不限,绍兴,未婚,高级会员,静待佳缘,5000～10000元,猴,78公斤
100,49岁,--,已购车（中档型）,天蝎座,本科,--,170cm,已购房（无贷款）,167707714,38-45岁之间,高中中专及以下,不限,155-170厘米,浙江绍兴,不限,不限,不限,绍兴,"离异,有小孩归自己",高级会员,过客,20000～50000元,羊,60公斤
101,36岁,AB型,暂未购车,天蝎座,大专,汉族,185cm,需要时购置,159014095,26-36岁之间,大专,不限,160-175厘米,浙江,不限,不限,有照片,绍兴,"离异,无小孩",高级会员,Chris,20000～50000元,猴,85公斤
102,46岁,O型,--,处女座,大专,汉族,173cm,--,155013933,38-46岁之间,不限,不限,155-170厘米,"浙江绍兴,浙江杭州",不限,不限,不限,绍兴,"离异,有小孩归对方",普通会员,邂逅阳光,5000～10000元,猪,72公斤
103,41岁,--,需要时购置,巨蟹座,本科,--,170cm,暂未购房,165627147,34-42岁之间,不限,汉族,155-170厘米,"湖南娄底,江苏,浙江",丧偶,不限,有照片,绍兴,"离异,有小孩归自己",普通会员,永不放弃,2000～5000元,龙,--
104,34岁,--,--,金牛座,本科,--,182cm,--,169653480,27-35岁之间,不限,不限,155-170厘米,浙江绍兴,不限,不限,不限,绍兴,未婚,普通会员,四度诱惑,5000～10000元,猪,--
105,37岁,--,已购车（中档型）,天秤座,大专,汉族,176cm,与父母同住,169696436,23-35岁之间,不限,不限,155-170厘米,浙江绍兴,不限,不限,有照片,绍兴,离异,高级会员,光明,5000～10000元,猴,79公斤
106,58岁,--,--,双子座,本科,--,170cm,--,166169167,40-55岁之间,不限,不限,160-165厘米,浙江绍兴,不限,不限,有照片,绍兴,离异,高级会员,大度,5000～10000元,猪,--
107,38岁,AB型,--,天秤座,本科,汉族,178cm,已购房（无贷款）,168912507,28-40岁之间,不限,不限,158-170厘米,不限,不限,星级会员,有照片,绍兴,未婚,高级会员,真情等待,2000元以下,羊,67公斤
108,37岁,保密,已购车（豪华型）,射手座,高中中专及以下,汉族,175cm,已购房（有贷款）,157954253,30-39岁之间,高中中专及以下,不限,155-175厘米 *,浙江绍兴,未婚 *,星级会员 *,有照片,绍兴,"离异,无小孩",高级会员,aa,20000～50000元,羊,65公斤
109,51岁,AB型,暂未购车,处女座,高中中专及以下,汉族,180cm,已购房（无贷款）,153717678,39-49岁之间,不限,不限,160-175厘米,浙江绍兴,不限,不限,不限,绍兴,"离异,有小孩归对方",高级会员,高大哥,5000～10000元,马,78公斤
110,48岁,--,已购车（中档型）,水瓶座,本科,--,175cm,已购房（无贷款）,163271404,30-40岁之间,不限,不限,165-175厘米,"浙江,江苏,江西,四川",离异、丧偶,星级会员,有照片,绍兴,"离异,无小孩",普通会员,真诚待人,10000～20000元,猴,65公斤
111,52岁,--,--,天蝎座,本科,--,186cm,--,162199079,48-54岁之间,不限,不限,168-180厘米,浙江,不限,不限,有照片,绍兴,离异,普通会员,zikang,5000～10000元,龙,--
112,50岁,--,暂未购车,天蝎座,本科,汉族,172cm,已购房（无贷款）,126010855,43-46岁之间,不限,不限,160-170厘米,浙江绍兴,离异、丧偶,星级会员,有照片,绍兴,离异,高级会员,蔚海,5000～10000元,马,--
113,38岁,A型,暂未购车,天秤座,大专,汉族,170cm,暂未购房,147276764,25-37岁之间,不限,不限,155-175厘米,浙江绍兴,未婚、离异,不限,有照片,绍兴,"离异,有小孩归自己",高级会员,疯子,10000～20000元,羊,62公斤
114,33岁,--,--,金牛座,本科,--,170cm,--,150476042,25-36岁之间,不限,不限,155-183厘米,浙江,不限,不限,有照片,绍兴,未婚,普通会员,小何,5000～10000元,鼠,--
115,62岁,--,--,水瓶座,高中中专及以下,--,170cm,--,151785050,53-73岁之间,不限,不限,155-170厘米,浙江绍兴,未婚、离异,不限,不限,绍兴,离异,普通会员,帅君,2000元以下,羊,--
116,44岁,--,暂未购车,狮子座,高中中专及以下,汉族,178cm,已购房（无贷款）,141531644,37-43岁之间,高中中专及以下或以上,汉族,158-170厘米,"河南信阳,河南南阳,河南驻马店,安徽",离异、丧偶,星级会员,有照片,绍兴,"离异,有小孩归自己",普通会员,徐徐微风,2000～5000元,牛,68公斤
117,44岁,B型,已购车（经济型）,金牛座,大专,汉族,182cm,已购房（无贷款）,146062843,32-43岁之间,不限,不限,155-170厘米,浙江绍兴,不限,不限,不限,绍兴,"离异,有小孩归自己",普通会员,无缝墙布,5000～10000元,牛,90公斤
118,50岁,B型,已购车（经济型）,处女座,大专,汉族,170cm,已购房（无贷款）,148193477,42-50岁之间,不限,不限,155-170厘米,浙江绍兴,不限,不限,不限,绍兴,"离异,有小孩归自己",普通会员,九天月,10000～20000元,羊,70公斤
119,32岁,--,已购车（经济型）,射手座,本科,--,178cm,--,145086094,23-31岁之间,不限,不限,160厘米或以上,浙江绍兴,不限,不限,有照片,绍兴,未婚,高级会员,21,5000～10000元,鼠,--
120,58岁,B型,暂未购车,双子座,本科,汉族,176cm,已购住房,146023765,56-60岁之间,不限,不限,158-170厘米,不限,不限,不限,有照片,绍兴,离异,普通会员,为你而醉,2000～5000元,猪,74公斤
