,__v,_id,created_at,nd_key,rated_by,rating,rating_max,student_comment,updated_at,user_key
17,0,580e41daf431930300c1c70b,2016-10-24T17:16:01.097Z,nd008,{'name': 'Sam N.'},5,5,"For years I have collected books, sat in Coursera classes, sat in EdX classes, studied independently and nothing has come as succinct to articulating all of the topics important to the basics of predictive modeling as this class. I think this content delivers a much needed, and highly demanded commodity that is extremely hard elsewhere.",2016-10-24T17:16:10.072Z,u500110
18,0,5809dd20d60f6e030087bf5b,2016-10-21T09:17:19.818Z,nd008,{'name': 'Ian K.'},5,5,Loving it so far. ,2016-10-21T09:17:20.132Z,8537330317
19,0,58080b65ef2ebb03000ece6e,2016-10-20T00:10:12.070Z,nd008,{'name': 'Sam N.'},5,5,I've loved how this program boils down complex topics into easily understandable videos and quizzes. I've picked up several things that I've already started using in my job.,2016-10-20T00:10:13.609Z,u500110
20,0,58b2cf5285a3dc0004a99643,2017-02-26T12:51:28.401Z,nd008,{'name': 'Eric N.'},4,5,it is a great intro for beginners such as myself.,2017-02-26T12:51:30.876Z,10457701370
21,0,58941e5e91177a000452850f,2017-02-03T06:08:29.357Z,nd008,{'name': 'Omar H.'},4,5,"The contents are really interesting and the tools are amazing, but maybe if you want to go into a more technical detail you have to look somewhere else for that information.",2017-02-03T06:08:30.701Z,10191228799
22,0,5884269c576cb60004b6ec73,2017-01-22T03:27:24.320Z,nd008,{'name': 'Siraj S.'},4,5,"So far, very good. Some of the instructions for the practice projects were not clear. But the team corrected it after my feedback. Hence, I am happy. ",2017-01-22T03:27:24.938Z,380488986
23,0,585d9d8bf818cb0400da18cb,2016-12-23T21:56:28.179Z,nd008,{'name': 'Keegan J.'},4,5,Learning quite a bit with industry tools.,2016-12-23T21:56:27.814Z,u9747393
24,0,584d6f6b1b02690400e248b2,2016-12-11T15:23:22.049Z,nd008,{'name': 'qaiss d.'},4,5,"yes its great, some times it feels overwhelming but over all its great. ",2016-12-11T15:23:23.160Z,8303331756
25,0,584702b9035b6d040004e18c,2016-12-06T18:25:52.390Z,nd008,{'name': 'Jason R.'},4,5,Some of the content is great with lots of examples and practical quizzes.  A few parts seem poorly done with multiple errors.  The reports range from easy to slightly difficult.  I'm only half way done so far.,2016-12-06T18:26:01.956Z,10026799839
26,0,58751fa311aac80004dd7a74,2017-01-10T17:53:39.401Z,nd008,{'name': 'Randeep S.'},3,5,Good for starting with data science and gain some hands on experience. Lecture videos for lesson 5 & 6 requires improvement. Over all covers major principals of predictive data analysis.,2017-01-10T17:53:39.816Z,5422470194
27,0,585af8a43917750400d35b23,2016-12-21T21:48:21.309Z,nd008,{'name': 'Chad W.'},3,5,I'm brand new to business analytics and this has been a little more difficult than I expected. One way I think the nanodegree could be improved is to give the student a bit more of a business analytics foundation rather than simply teaching the technical aspects of Alteryx and Tableau. ,2016-12-21T21:48:20.561Z,3166388946
28,0,58b703059118ce0004ba7782,2017-03-01T17:21:08.587Z,nd008,{'name': 'Joshua C.'},2,5,"The content can be found through other means, and the price paid is not worth the ease of access to that content. I would advise studying using the internet as a guide. The Alteryx documentation itself covers a lot of the Alteryx based content. Tableau tutorials are available on many different sites for free.

The course video can be adjusted to speed up to 2.0 but a nice 1.25 is my preferred viewing speed. 

I did graduate the program but have yet to receive much if any returned value.",2017-03-01T17:21:09.857Z,10171402032
29,0,58860a55d33b320004d4c43c,2017-01-23T13:51:14.736Z,nd008,{'name': 'Gustavo T.'},2,5,"It is increasingly difficult to continue with the course, no one bothering to redo the course material, is full of lagged tasks. That added to the confusion that can be seen in the forum, only heightens the difficulty of understanding and delivering the tasks requested. It is an expensive course, and the material is maintenance free. For those who live in Brazil a course of this cost half a salary. So it is expensive and important to me. Unfortunately it seems that it is not so important for those responsible for the preparation or maintenance of course material. It's my first paid course at udacity and I confess I expected a lot more.",2017-01-23T13:51:17.777Z,1968668878
30,0,58287c2a8b52e6040068bd90,2016-11-13T14:43:54.568Z,nd008,{'name': 'µv√Ò ¡÷.'},2,5,"The course and teaching contents are wonderful. I enjoy learning really much, being excited everyday back home to learn online, while when it comes to projects, I always spend so much time (probably more than 10 hours for every project!) on trivial issues. For example, I might spend hours just trying to put 2 different data source into one tableau worksheet/dashboard.
I agree that nowadays you can always find help and answers on google, while considering it's  just a nanodegree, which I think is supposed to teach some basic concepts and inspire students, tackling with all those trivial issues are too tired for me as merely a student. (And everyday is charged on Udacity!)",2016-11-13T14:43:54.594Z,9906016650
31,0,583dab9a5c4d8504005d653c,2016-11-29T16:23:50.815Z,nd008,{'name': 'Mohamed K.'},1,5,Just basic Altryx and Tableau training without providing enough grounding in any of theoretical aspect. Beside there're better and cheaper alternatives. This course if not value for money.,2016-11-29T16:23:54.590Z,6198192167
